,Emotion_Affect,id,R,R2,RMSE,MAE,MSE,R2_CD,P_Value
321,Interested,K23143,0.08681718943,0.007537224381,2.199650322,2.023076923,4.838461538,-0.0002163910539,0.3260191324
322,Interested,K23144,0.1265583645,0.01601701961,1.204627668,0.8646616541,1.45112782,0.008505699152,0.1466104339
323,Interested,K23145,-0.09047533945,0.008185787048,1.197219,0.9,1.433333333,-0.008914458003,0.4917749314
324,Interested,K23147,0.1021188211,0.01042825362,1.348399725,1.151515152,1.818181818,-0.02149341562,0.5717403174
325,Interested,K23148,0.2540934138,0.06456346295,2.540579748,2.454545455,6.454545455,0.04691371697,0.06120977883
326,Interested,K23150,-0.02857126432,0.000816317145,1.227881227,0.9230769231,1.507692308,-0.01504374131,0.8212593878
327,Interested,K23151,-0.009027848727,8.15E-05,2.218800785,2.051282051,4.923076923,-0.02694332222,0.9565004575
328,Interested,K23153,0.0231155954,0.0005343307507,1.414213562,1.166666667,2,-0.02886171834,0.893547639
329,Interested,K23155,0.1517857143,0.02303890306,0.7313574509,0.488372093,0.5348837209,-0.0007894163763,0.3312290754
330,Interested,K23156,0.1063655923,0.01131363922,1,0.6818181818,1,-0.01222651223,0.4919622001
331,Interested,K23502,0.1437555363,0.02066565423,2.178684618,1.973333333,4.746666667,0.007250115242,0.2185279088
332,Interested,K23503,0.3165646627,0.1002131857,1.993138916,1.780821918,3.97260274,0.08754013194,0.006360339189
333,Interested,K23507,-0.1049698582,0.01101867113,2.100228298,1.863013699,4.410958904,-0.002910643359,0.3767888916
334,Interested,K23508,0.08228404503,0.006770664067,2.227921983,2.054545455,4.963636364,-0.01196951208,0.5503521029
335,Interested,K23509,0.09726946589,0.009461348995,1.924719578,1.727272727,3.704545455,-0.002056542295,0.3672895466
336,Interested,K23510,-0.08207826817,0.006736842105,2.133072901,1.89,4.55,-0.003398496241,0.4168866284
337,Interested,K23517,0.009410108345,8.86E-05,1.523154621,1.2,2.32,-0.01360886698,0.9361363174
338,Interested,K23521,0.1539262612,0.02369329389,1,0.7142857143,1,0.002920810777,0.2909785211
339,Interested,K23526,0.1714453897,0.02939352164,1.911743159,1.654761905,3.654761905,0.01755685727,0.1189139382
340,Interested,K23529,0.06583492769,0.004334237703,1.632993162,1.375,2.666666667,-0.01731067017,0.656625119
341,Interested,K23531,-0.09401561021,0.008838934963,2.38949313,2.225806452,5.709677419,-0.0253390328,0.6149204194
342,Interested,K23532,-0.1680415181,0.02823795181,1.313064329,1.034482759,1.724137931,-0.007753235163,0.3835653997
343,Interested,K23533,0.1466524788,0.02150694952,1.670828138,1.486111111,2.791666667,0.007528477375,0.2189713734
344,Interested,K23536,-0.03879344452,0.001504931338,2.194690563,2.016666667,4.816666667,-0.01571050088,0.768542162
345,Interested,K23537,0.2640977665,0.06974763025,1.233587909,0.9565217391,1.52173913,0.05941149281,0.01096419172
346,Interested,K23540,0.322981445,0.1043170138,1.328422328,0.9411764706,1.764705882,0.0860377692,0.02079402685
347,Interested,K23541,0.09989283875,0.009978579233,1.732050808,1.48,3,-0.01064686703,0.4900603453
348,Interested,K23548,0.3552358458,0.1261925061,1.942728377,1.774193548,3.774193548,0.1116290479,0.004607735303
349,Interested,K23551,-0.05979510738,0.003575454867,1.861898673,1.666666667,3.466666667,-0.01360427867,0.6499482386
350,Interested,K23552,0.2741680354,0.07516811163,1.621861518,1.326086957,2.630434783,0.05414920507,0.06520778829
351,Interested,K23555,0.2781599059,0.07737293325,2.189440749,1.968253968,4.793650794,0.06224789937,0.0272877537
352,Interested,K23556,0.113797239,0.0129498116,1.252025386,0.972972973,1.567567568,-0.01525162235,0.502458078
353,Interested,K23557,0.05024506603,0.002524566661,2.103917914,1.897058824,4.426470588,-0.01258869748,0.6840763115
354,Interested,K23559,0.1556178128,0.02421690367,1.410601261,1.091836735,1.989795918,0.01405249642,0.1259896101
355,Interested,K23563,0.2834793314,0.08036053131,1.570562532,1.266666667,2.466666667,0.05897356692,0.05915511421
356,Interested,K23565,0.2102741714,0.04421522717,1.375611752,1.123076923,1.892307692,0.02904404029,0.09271541419
357,Interested,KTFG534,0.2829264388,0.0800473698,1.204346483,0.9099099099,1.45045045,0.07160743741,0.002622817208
358,Interested,KTGF118,0.07416949872,0.005501114541,1.213660979,0.9864864865,1.472972973,-0.008311369979,0.5299817949
359,Interested,KTGF119,0.3476849333,0.1208848128,1.48221783,1.257575758,2.196969697,0.107148638,0.004230240993
360,Interested,KTGF120,0.395262229,0.1562322297,1.716160097,1.520547945,2.945205479,0.1443481766,0.0005383520917
361,Interested,KTGF122,0.163656619,0.02678348894,1.162872619,0.875,1.352272727,0.01546701788,0.1276146106
362,Interested,KTGF124,-0.01745395617,0.0003046405859,1.809934272,1.551724138,3.275862069,-0.01754706226,0.8965335121
363,Interested,KTGF125,0.3603832052,0.1298760546,0.870770784,0.6703296703,0.7582417582,0.120099381,0.0004497931508
364,Interested,KTGF126,0.1289923454,0.01663902518,1.567329493,1.347826087,2.456521739,0.005712792129,0.2204013021
365,Interested,KTGF127,-0.07225436269,0.005220692928,2.140872096,1.75,4.583333333,-0.02403752199,0.6753810117
366,Interested,KTGF129,0.1103737937,0.01218237433,1.551209206,1.28125,2.40625,0.001673676184,0.2843734145
367,Interested,KTGF130,-0.07534732623,0.00567721957,1.881931632,1.597222222,3.541666667,-0.008527391579,0.5293169862
368,Interested,KTGF136,0.2261586696,0.05114774382,2.114092655,1.897959184,4.469387755,0.03095939794,0.1181551169
369,Interested,KTGF138,0.1071091294,0.0114723656,0.9701425001,0.7647058824,0.9411764706,-0.01941912297,0.5465579222
370,Interested,KTGF142,0.02967171816,0.0008804108584,1.507556723,1.303030303,2.272727273,-0.03134925331,0.8697983671
371,Interested,KTGF143,0.2216027467,0.04910777737,1.611589967,1.319444444,2.597222222,0.03552360276,0.06137484548
372,Interested,KTGF146,0.1873305248,0.03509272552,1.492117654,1.169811321,2.226415094,0.01617297504,0.1792095709
373,Interested,KTGF147,0.2483617088,0.06168353841,1.152799795,0.9342105263,1.328947368,0.04900358623,0.03051795636
374,Interested,KTGF148,-0.03757336928,0.001411758079,1.410708691,1.059405941,1.99009901,-0.008674991839,0.7091192164
375,Interested,KTGF150,0.1037906632,0.01077250177,1.866050068,1.625,3.482142857,-0.007546525973,0.4465139572
376,Interested,KTGF153,0.07899803862,0.006240690106,1.943067216,1.673469388,3.775510204,-0.004110969372,0.4393944805
377,Interested,KTGF154,0.04161145869,0.001731513494,2.396075222,2.258823529,5.741176471,-0.01029581767,0.7053397858
378,Interested,KTGF156,0.3319809415,0.1102113455,1.421560176,1.1875,2.020833333,0.1007455088,0.00095191107
379,Interested,KTGF157,0.3810354303,0.1451879991,1.049781318,0.7551020408,1.102040816,0.1362837075,0.0001085030509
380,Interested,KTGF158,0.08502956179,0.007230026379,2.328633765,2.154929577,5.422535211,-0.007157944253,0.480789812
