"X","Variable","Importance","Participant"
"K23551.23","Allnone",0.016311006,"K23551"
"K23557.29","Allnone",0.001478294,"K23557"
"K23563.28","Allnone",0.000191704,"K23563"
"KTFG534.28","Allnone",0.01038465,"KTFG534"
"KTGF125.29","Allnone",0.001154549,"KTGF125"
"KTGF126.20","Allnone",0.0007283,"KTGF126"
"KTGF127.24","Allnone",0.001129543,"KTGF127"
"KTGF129.23","Allnone",0.009931418,"KTGF129"
"KTGF130.25","Allnone",0.011559083,"KTGF130"
"KTGF138.26","Allnone",0.004561275,"KTGF138"
"KTGF142.30","Allnone",0.001391232,"KTGF142"
"KTGF146.25","Allnone",0.005639202,"KTGF146"
"KTGF527.32","Allnone",0.001729476,"KTGF527"
"KTGF528.29","Allnone",0.000325128,"KTGF528"
"K23101.52","AllPunc",0.001478316,"K23101"
"K23115.53","AllPunc",0.002370428,"K23115"
"K23121.55","AllPunc",0.001458333,"K23121"
"K23122.43","AllPunc",0.003568069,"K23122"
"K23125.65","AllPunc",0.007582472,"K23125"
"K23126.47","AllPunc",0.001283744,"K23126"
"K23128.63","AllPunc",0.002374179,"K23128"
"K23133.69","AllPunc",0.00075513,"K23133"
"K23134.75","AllPunc",0.003280976,"K23134"
"K23136.69","AllPunc",0.001178698,"K23136"
"K23144.47","AllPunc",0.002227409,"K23144"
"K23145.55","AllPunc",0.000298667,"K23145"
"K23148.59","AllPunc",0.00213137,"K23148"
"K23151.54","AllPunc",0.005015778,"K23151"
"K23155.41","AllPunc",0,"K23155"
"K23503.64","AllPunc",0.006984559,"K23503"
"K23509.55","AllPunc",0.004743742,"K23509"
"K23510.57","AllPunc",0.006568473,"K23510"
"K23517.48","AllPunc",0.00479064,"K23517"
"K23521.58","AllPunc",0.003753592,"K23521"
"K23526.55","AllPunc",0.004243873,"K23526"
"K23529.64","AllPunc",0.004987583,"K23529"
"K23532.69","AllPunc",0.005861885,"K23532"
"K23536.57","AllPunc",0.000372667,"K23536"
"K23537.64","AllPunc",0.002457464,"K23537"
"K23548.64","AllPunc",0.001500571,"K23548"
"K23551.43","AllPunc",0.001664392,"K23551"
"K23552.62","AllPunc",0.003704913,"K23552"
"K23555.56","AllPunc",0.003774878,"K23555"
"K23556.53","AllPunc",0.00304964,"K23556"
"K23557.58","AllPunc",0.005597039,"K23557"
"K23563.46","AllPunc",0.003309259,"K23563"
"KTFG534.55","AllPunc",0.012911916,"KTFG534"
"KTGF118.65","AllPunc",0.001119486,"KTGF118"
"KTGF120.63","AllPunc",0.003390393,"KTGF120"
"KTGF122.52","AllPunc",0.002489462,"KTGF122"
"KTGF124.54","AllPunc",0.006291306,"KTGF124"
"KTGF125.58","AllPunc",0.002479751,"KTGF125"
"KTGF127.41","AllPunc",0.002580629,"KTGF127"
"KTGF142.64","AllPunc",0.005198667,"KTGF142"
"KTGF143.67","AllPunc",0.004331759,"KTGF143"
"KTGF146.49","AllPunc",0.010174478,"KTGF146"
"KTGF147.48","AllPunc",0.002458184,"KTGF147"
"KTGF148.61","AllPunc",0.001972475,"KTGF148"
"KTGF150.30","AllPunc",0.000721012,"KTGF150"
"KTGF156.60","AllPunc",0.001112917,"KTGF156"
"KTGF157.39","AllPunc",0.004059007,"KTGF157"
"KTGF158.60","AllPunc",0.000898704,"KTGF158"
